City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
165,namibe,AO,71.19,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
166,port blair,IN,82.63,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
167,tateyama,JP,72.1,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
168,lujiang,CN,78.96,few clouds,31.2581,117.2817,GreenTree Inn Hefei Lujiang County Jinjie 1 Express Hotel
169,isla vista,US,89.08,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
170,lakatoro,VU,79.95,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
171,jalu,LY,74.88,clear sky,29.0331,21.5482,صاحبة الفخامة
173,zaraza,VE,86.94,scattered clouds,9.3503,-65.3245,Hotel Zaraza
174,tabou,CI,77.11,light rain,4.423,-7.3528,hotêl doufoulougou
175,chardara,KZ,75.07,clear sky,41.2547,67.9692,Жанаргул
176,shingu,JP,72.91,overcast clouds,33.7333,135.9833,Shingu UI Hotel
177,laguna,US,85.91,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
178,uthal,PK,84.22,scattered clouds,25.8072,66.6219,Al Madina Hotal
180,turbat,PK,82.85,few clouds,26.0023,63.044,Mubashar Quarters
181,teknaf,BD,81.03,overcast clouds,20.8624,92.3058,Forestry Guesthouse
182,qui nhon,VN,82.18,light rain,13.7667,109.2333,Hoang Yen Canary Hotel
183,kirando,TZ,72.75,clear sky,-7.4167,30.6,Lakeshore Lodge
184,bathsheba,BB,80.56,scattered clouds,13.2167,-59.5167,Atlantis Hotel
185,fuengirola,ES,74.08,clear sky,36.54,-4.6247,Hotel Las Palmeras
186,salalah,OM,83.17,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
187,cam ranh,VN,82.36,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
188,rongcheng,CN,76.48,overcast clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
189,abu dhabi,AE,86.27,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
191,ambunti,PG,74.37,scattered clouds,-4.2365,142.8448,Ambunti Lodge
192,martapura,ID,75.29,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
193,vila velha,BR,74.16,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
194,terrace,CA,71.42,broken clouds,54.5163,-128.6035,Northern Motor Inn
195,mozarlandia,BR,77.94,clear sky,-14.7447,-50.5706,Hotel Santa Mônica
196,wukari,NG,77.04,light rain,7.85,9.7833,Elimtop
197,bintulu,MY,76.62,overcast clouds,3.1667,113.0333,900 Boutique INN
198,albert lea,US,89.71,clear sky,43.648,-93.3683,Countryside Motel Albert Lea
199,ruwi,OM,86.76,clear sky,23.5996,58.5507,Al Falaj Hotel
