City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
872,chokurdakh,RU,70.6333,147.9167,56.41,41,30,12.01,scattered clouds
873,cabras,IT,39.93,8.5314,65.98,85,13,4.12,few clouds
874,mayo,US,38.8876,-76.5119,69.84,95,100,10.0,overcast clouds
875,aklavik,CA,68.2191,-135.0107,68.92,35,100,11.41,overcast clouds
876,shreveport,US,32.5251,-93.7502,93.0,60,34,8.84,scattered clouds
877,adre,TD,13.4667,22.2,88.05,30,86,2.91,overcast clouds
878,launceston,AU,-41.45,147.1667,53.24,89,90,1.99,overcast clouds
879,nouadhibou,MR,20.931,-17.0347,70.2,75,15,20.54,few clouds
880,songea,TZ,-10.6833,35.65,55.02,76,0,2.73,clear sky
881,tucurui,BR,-3.7661,-49.6725,75.24,94,99,3.4,overcast clouds
882,joinville,BR,-26.3044,-48.8456,67.95,83,20,3.44,few clouds
883,general roca,AR,-39.0333,-67.5833,63.72,47,100,13.29,overcast clouds
884,coahuayana,MX,18.7333,-103.6833,86.31,61,100,5.64,overcast clouds
885,luderitz,NA,-26.6481,15.1594,65.1,50,100,3.91,overcast clouds
886,pacov,CZ,49.4708,15.0017,60.46,87,100,3.18,overcast clouds
887,arraial do cabo,BR,-22.9661,-42.0278,72.41,85,99,20.13,light rain
888,acari,PE,-15.4311,-74.6158,68.76,69,27,5.14,scattered clouds
889,carnarvon,AU,-24.8667,113.6333,68.5,63,77,12.3,broken clouds
890,maniitsoq,GL,65.4167,-52.9,38.82,79,57,0.81,broken clouds
891,samarai,PG,-10.6167,150.6667,81.5,83,9,11.9,clear sky
892,walvis bay,NA,-22.9575,14.5053,57.09,71,8,1.54,clear sky
893,dali,CN,25.7,100.1833,60.71,94,99,2.46,overcast clouds
894,san patricio,US,28.017,-97.5169,93.29,55,2,13.76,clear sky
895,chaozhou,CN,23.6651,116.6379,77.65,90,98,4.5,overcast clouds
896,san cristobal,VE,7.7669,-72.225,74.98,66,40,5.14,scattered clouds
897,esperance,AU,-33.8667,121.9,58.84,82,100,8.01,light rain
898,kafanchan,NG,9.5833,8.3,70.7,89,100,1.88,overcast clouds
899,hobyo,SO,5.3505,48.5268,77.58,84,91,24.45,overcast clouds
900,ketchikan,US,55.3422,-131.6461,61.59,52,72,4.65,broken clouds
